INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
233,Lower Jubba,Kismayo,Waamo,Shallow Well,Kismayo,0.3422,42.563,,,
234,Lower Jubba,Kismayo,Bula abliko,Shallow Well,Kismayo,0.33998,42.56956,,,
235,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340556,42.56797,,,
236,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340356,42.5679,,,
237,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340098,42.5677,,,
238,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340186,42.467936,,,
239,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340158,42.567357,,,
240,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.339727,42.56775,,,
241,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.339705,42.5675,,,
242,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.339859,42.5678,,,
243,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340602,42.56753,,,
244,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.34781,42.5674,,,
245,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340751,42.56939,,,
246,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.341094,42.56939,,,
247,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.341694,42.569,,,
248,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.3415241,42.56951,,,
249,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.341524,42.569446,,,
250,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.341238,42.56977,,,
251,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340716,42.56952,,,
252,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340716,42.569112,,,
253,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340707,42.569456,,,
254,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.340167,42.569746,,,
255,Lower Jubba,Kismayo,Maleley,Shallow Well,Kismayo,0.34055,42.569751,,,
256,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.340135,42.568942,,,
257,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.340317,42.568942,,,
258,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.340315,42.565857,,,
259,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.340452,42.5659,,,
260,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.34492,42.566878,,,
261,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.340474,42.568853,,,
262,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341019,42.56554,,,
263,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341256,42.5690178,,,
264,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341397,42.569152,,,
265,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341473,42.569456,,,
266,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341471,42.569282,,,
267,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341473,42.569627,,,
268,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341786,42.568795,,,
269,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.341561,42.569907,,,
270,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.340992,42.670035,,,
271,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.33915,42.570022,,,
272,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.339153,42.565288,,,
273,Lower Jubba,Kismayo,Marerey,Shallow Well,Kismayo,0.366397,42.552741,,,
274,Lower Jubba,Kismayo,Camp1,Shallow Well,Kismayo,0.366117,42.550269,,,
275,Lower Jubba,Kismayo,Siinay,Shallow Well,Kismayo,0.36645,42.552577,,,
276,lower_juba,Kismayo,Haadweyne1,Borehole,Haadweyne,-0.3775414,42.2973486,,,
277,lower_juba,Kismayo,Haadweyne2,Borehole,Haadweyne,-0.3836599,42.3064175,,,
278,lower_juba,Kismayo,Haadweyne3,Borehole,Haadweyne,-0.3717057,42.2990665,,,
279,lower_juba,Kismayo,Haadweyne4,Borehole,Haadweyne,-0.3775414,42.2973486,,,
